fit_label,strike,in_sample,dev_iv_mean,dev_iv_std,mispx_mean,mispx_std,mispx_p05,mispx_p25,mispx_p50,mispx_p75,mispx_p95
S1_inner3,4000,False,-0.13347659302527962,0.7620194741927445,-5.700140073032282,17.566889470358102,-41.99129288269201,-1.0,0.0,0.0,0.5
S1_inner3,4500,False,-0.03776641244692638,0.2974437152230198,-0.6487108382791369,2.2006943651025117,-4.796308700271538,-0.5000700894802321,-0.000443239594460465,0.0,0.5
S1_inner3,5000,False,0.0048775993884232136,0.016991059177886524,0.16646413636320534,1.4537242449503356,-2.6686023450242375,-0.721363565716274,0.44099438082685083,1.1852120492237646,2.1900443698695655
S1_inner3,5100,True,-5.222674145007507e-17,4.370644163119918e-15,6.218488191128321e-07,1.4816201814109476e-05,-2.7025660483559476e-05,-7.575752078992082e-07,-1.2596501619555056e-09,2.40707277043839e-06,2.899153355429005e-05
S1_inner3,5200,True,-1.946776073680212e-17,3.623238199653841e-15,3.7030784334547205e-06,1.9847700927817854e-05,-3.496856920719438e-05,-5.5499640438938513e-08,-5.038600647822022e-10,6.942694653844228e-06,4.3570956609073616e-05
S1_inner3,5300,True,-7.33320811481993e-17,3.8974556860057574e-15,4.636113724480614e-06,1.821128451991505e-05,-1.7945842205335794e-05,-8.879737833922263e-08,-8.440110832452774e-10,7.484085813302954e-06,4.07902037295571e-05
S1_inner3,5400,False,-0.017968410749974767,0.009277622811167665,-3.3764188146804575,1.7371455657280908,-6.647295495673938,-4.403673399448849,-3.1781391181040703,-2.1758942480184373,-0.7774541259650994
S1_inner3,5500,False,-0.0010522741521931211,0.01933422461846372,-0.24692499304685522,2.1014069629615655,-3.8781330462971932,-1.6824632441537517,-0.13280455937959346,1.3123215969152398,3.03675494887392
S1_inner3,6000,False,0.132187689200055,0.13242807463721146,0.06297701395014588,1.2472662800965963,-2.206626866481515,0.3207275163740406,0.497435503266039,0.49999990083709356,0.5
S1_inner3,6500,False,0.32433288588954773,0.30416403379000473,-0.27589591066183106,2.899738678557575,-4.471012927872147,0.4545222165630345,0.49999993509284396,0.5,0.5
S2_inner4,4000,False,-0.4431728595511899,0.48711738655069864,-2.762245005347894,8.460768532201119,-17.520915279166548,-1.0006821481414363,-0.005272387910963516,0.0,0.3358413684290781
S2_inner4,4500,False,-0.12803710417978112,0.235236915798476,-0.15349206404940224,0.8124751064514767,-1.4390285802533072,-0.500005604604894,-0.006316558565686137,0.21873323147974588,0.49999999878414203
