strike,theta_iv,hold,pnl_taker_sum,n_trades_taker,pnl_maker_sum,n_fills_maker,pnl_taker_per_trade,pnl_maker_per_fill
5200,0.005,5,-50836.0,17779,-9927.0,3839,-2.8593284211710444,-2.5858296431362335
5200,0.005,20,-50507.0,17744,-24551.0,9226,-2.84642696122633,-2.6610665510513765
5200,0.005,100,-48980.0,17600,-34112.0,13668,-2.7829545454545452,-2.495756511559848
5200,0.01,1,-11807.0,4240,-192.0,88,-2.7846698113207546,-2.1818181818181817
5200,0.01,5,-11726.0,4239,-2232.0,875,-2.7662184477471103,-2.5508571428571427
5200,0.01,20,-11549.0,4232,-5682.0,2143,-2.728969754253308,-2.65142323845077
5200,0.01,100,-10648.0,4217,-7831.0,3186,-2.5250177851553235,-2.4579409918392967
5200,0.02,1,0.0,0,0.0,0,,
5200,0.02,5,0.0,0,0.0,0,,
5200,0.02,20,0.0,0,0.0,0,,
5200,0.02,100,0.0,0,0.0,0,,
5300,0.003,1,-46829.0,22373,-4463.0,2374,-2.0931032941491976,-1.879949452401011
5300,0.003,5,-46832.0,22362,-14468.0,8044,-2.094267060191396,-1.798607657881651
5300,0.003,20,-47009.0,22326,-25467.0,14087,-2.10557197885873,-1.8078370128487258
5300,0.003,100,-47329.0,22142,-32950.0,18369,-2.1375214524433206,-1.7937830039740867
5300,0.005,1,-37432.0,17967,-3540.0,1876,-2.0833750765291925,-1.8869936034115138
5300,0.005,5,-37411.0,17960,-11444.0,6380,-2.0830178173719376,-1.793730407523511
5300,0.005,20,-37594.0,17925,-20387.0,11295,-2.097294281729428,-1.8049579459938025
5300,0.005,100,-37831.0,17783,-26555.0,14702,-2.1273688354046,-1.806216841246089
5300,0.01,1,-11475.0,5677,-1153.0,615,-2.021314074335036,-1.8747967479674796
5300,0.01,5,-11499.0,5674,-3575.0,2029,-2.026612618963694,-1.7619517003449976
5300,0.01,20,-11565.0,5668,-6488.0,3631,-2.0404022582921666,-1.7868355824841642
5300,0.01,100,-11964.0,5638,-8673.0,4651,-2.1220290883291946,-1.8647602666093313
5300,0.02,1,-87.0,56,-6.0,3,-1.5535714285714286,-2.0
5300,0.02,5,-89.0,55,-24.0,13,-1.6181818181818182,-1.8461538461538463
5300,0.02,20,-95.0,55,-77.0,35,-1.7272727272727273,-2.2
5300,0.02,100,-167.0,50,-148.0,46,-3.34,-3.217391304347826
5400,0.003,1,-39519.0,28698,-19737.0,17763,-1.3770646038051433,-1.1111298767100153
5400,0.003,5,-39490.0,28686,-25659.0,22170,-1.3766297148434776,-1.1573748308525034
5400,0.003,20,-39372.0,28641,-28752.0,25198,-1.3746726720435738,-1.1410429399158664
5400,0.003,100,-38988.0,28401,-29883.0,26988,-1.3727685644871659,-1.1072698977323254
5400,0.005,1,-38520.0,28004,-19297.0,17377,-1.3755177831738323,-1.11049087874777
5400,0.005,5,-38479.0,27992,-25044.0,21652,-1.374642755072878,-1.156659892850545
