feature,threshold,n_pos,mean_fwd10_pos,n_neg,mean_fwd10_neg
frontier_imbalance,0.2,345,3.6826086956521737,312,-3.5288461538461537
frontier_imbalance,0.3,221,3.828054298642534,201,-3.2786069651741294
frontier_imbalance,0.4,130,3.919230769230769,109,-3.628440366972477
frontier_imbalance,0.5,31,2.435483870967742,31,-3.8225806451612905
fbv_minus_touch_mid,0.5,516,3.8556201550387597,474,-3.6223628691983123
fbv_minus_touch_mid,1.0,516,3.8556201550387597,474,-3.6223628691983123
fbv_minus_touch_mid,2.0,516,3.8556201550387597,474,-3.6223628691983123
fbv_minus_touch_mid,3.0,516,3.8556201550387597,474,-3.6223628691983123
depth_imbalance,0.05,444,-3.5135135135135136,482,3.882780082987552
depth_imbalance,0.075,312,-3.576923076923077,325,4.04
depth_imbalance,0.1,146,-3.98972602739726,151,4.129139072847682
